Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.0105305,1500000,100,3402.45122
0.010882651,1500000,100,3588.502844
0.011246578,1500000,100,3784.728078
0.011513954,1500000,100,4135.902837
0.011787686,1500000,100,4519.662161
0.012181879,1500000,100,4766.804716
0.012589254,1500000,100,5117.476732
0.012949258,1500000,100,5592.313662
0.013319557,1500000,100,6003.714595
0.013700446,1500000,100,6445.380412
0.01402616,1500000,100,7043.429961
0.014495209,1500000,100,7428.576287
0.015050503,1500000,100,8263.201861
0.01548089,1500000,100,9191.60043
0.015998587,1500000,100,10044.46436
0.016378937,1500000,100,10976.46325
0.016768329,1500000,100,11994.93981
0.01732908,1500000,100,12877.35266
0.017824625,1500000,100,14072.20765
0.0184207,1500000,100,15107.43559
0.019036707,1500000,100,16218.82052
0.019581084,1500000,100,17723.72134
0.020141028,1500000,100,19368.25787
0.021011109,1500000,100,20427.34605
0.021611946,1500000,100,21930.09245
0.022022019,1500000,100,24830.78023
0.022758459,1500000,100,26657.46714
0.023519526,1500000,100,28115.14125
0.024192094,1500000,100,30183.44357
0.024651124,1500000,100,33574.65515
0.025475484,1500000,100,35410.57248
0.026327412,1500000,100,38015.5663
0.027080274,1500000,100,40812.1976
0.028117687,1500000,100,44599.05187
0.028921745,1500000,100,49609.90561
0.029888919,1500000,100,53259.47942
0.030743627,1500000,100,58201.28356
0.031771727,1500000,100,62482.88574
0.032834207,1500000,100,68280.505
0.033932218,1500000,100,74616.06979
0.034902549,1500000,100,81539.49463
0.036239623,1500000,100,87537.98223
0.037451515,1500000,100,93977.75112
0.038522484,1500000,100,102697.6944
0.039998234,1500000,100,112226.7378
0.040949151,1500000,100,127070.9401
0.042517863,1500000,100,134019.3879
0.043733711,1500000,100,151746.0984
0.045409096,1500000,100,165826.2116
0.046707622,1500000,100,178025.2874
0.04804328,1500000,100,198027.0282
0.049417134,1500000,100,212594.9708
0.051069695,1500000,100,224220.0132
0.052530092,1500000,100,249411.8871
0.054032251,1500000,100,277434.1529
0.055577366,1500000,100,297843.7144
0.057166665,1500000,100,331307.4592
0.058801412,1500000,100,362048.5891
0.060767794,1500000,100,402725.9679
0.062799933,1500000,100,432352.675
0.06459577,1500000,100,480928.9547
0.066442961,1500000,100,525553.0615
0.068342975,1500000,100,574317.7195
0.070628436,1500000,100,627607.1191
